	Title	Price	Baths	Land size	Beds	House size	Brand New	Town	District
278	House	21500000	3	9.5	3	3000.0	0	 Piliyandala	  Colombo
279	House	6250000	1	40.0	4	1900.0	0	 Baddegama	  Galle
280	House	35000000	3	11.5	4	3500.0	1	 Kandana	  Gampaha
281	House	46500000	5	28.0	5	3500.0	0	 Piliyandala	  Colombo
282	House	50000000	2	17.5	3	1700.0	0	 Rajagiriya	  Colombo
283	House	7500000	1	13.5	3	2900.0	0	 Beliatta	  Hambantota
284	House	14000000	2	10.0	3	1500.0	1	 Piliyandala	  Colombo
285	House	37500000	2	12.85	4	3200.0	0	 Athurugiriya	  Colombo
286	House	8000000	2	11.0	3	2538.0	0	 Kesbewa	  Colombo
287	House	35000000	2	14.0	4	1700.0	0	 Wattala	  Gampaha
288	House	8000000	1	9.0	2	1500.0	0	 Homagama	  Colombo
289	House	24800000	3	6.0	4	2500.0	1	 Piliyandala	  Colombo
290	House	40000000	2	7.0	3	3300.0	0	 Talawatugoda	  Colombo
291	House	33000000	3	8.0	4	3000.0	0	 Kottawa	  Colombo
292	House	28500000	4	8.5	4	3800.0	0	 Piliyandala	  Colombo
293	House	26500000	3	10.5	4	3100.0	0	 Negombo	  Gampaha
294	House	17800000	2	6.0	3	1800.0	1	 Kottawa	  Colombo
295	House	105000000	3	50.17	4	3000.0	0	 Talawatugoda	  Colombo
296	House	18500000	3	8.0	3	2200.0	0	 Piliyandala	  Colombo
297	House	46000000	5	6.0	5	3000.0	0	 Dehiwala	  Colombo
298	House	23000000	2	57.0	5	3500.0	0	 Wennappuwa	  Puttalam
299	House	105000000	3	50.17	4	3000.0	0	 Talawatugoda	  Colombo
300	House	30500000	4	8.0	4	3500.0	0	 Piliyandala	  Colombo
301	House	34000000	4	8.5	4	3500.0	1	 Piliyandala	  Colombo
302	House	36000000	3	10.0	4	3000.0	0	 Malabe	  Colombo
303	House	14700000	2	6.0	4	1500.0	1	 Athurugiriya	  Colombo
304	House	30500000	3	7.5	4	3250.0	0	 Piliyandala	  Colombo
305	House	49500000	4	10.0	4	4000.0	0	 Talawatugoda	  Colombo
306	House	44000000	5	12.5	6	6500.0	1	 Talawatugoda	  Colombo
307	House	54800000	4	8.7	4	3200.0	0	 Battaramulla	  Colombo
308	House	45000000	4	9.8	5	3200.0	0	 Talawatugoda	  Colombo
309	House	45000000	4	11.0	5	3800.0	0	 Talawatugoda	  Colombo
310	House	49500000	3	10.12	4	3000.0	0	 Malabe	  Colombo
311	House	29500000	3	20.0	4	3500.0	0	 Negombo	  Gampaha
312	House	8500000	2	12.5	3	2500.0	0	 Eheliyagoda	  Ratnapura
313	House	45000000	4	11.0	5	3800.0	1	 Battaramulla	  Colombo
314	House	36000000	3	7.8	4	3000.0	0	 Malabe	  Colombo
315	House	48500000	4	14.0	6	3000.0	0	 Piliyandala	  Colombo
316	House	22500000	2	18.4	3	1000.0	0	 Malabe	  Colombo
317	House	33000000	4	9.0	4	3000.0	1	 Athurugiriya	  Colombo
318	House	29500000	4	8.0	4	2880.0	0	 Kesbewa	  Colombo
319	House	17300000	4	9.0	4	2900.0	1	 Athurugiriya	  Colombo
320	House	47500000	4	12.34	4	5195.0	1	 Athurugiriya	  Colombo
321	House	33500000	4	10.0	4	3200.0	1	 Talawatugoda	  Colombo
322	House	19800000	3	6.3	3	1900.0	1	 Athurugiriya	  Colombo
323	House	15800000	2	10.0	3	1600.0	1	 Homagama	  Colombo
324	House	16500000	2	5.0	3	2000.0	0	 Kadawatha	  Gampaha
325	House	47000000	5	14.7	4	4500.0	0	 Negombo	  Gampaha
326	House	29000000	3	6.7	5	1800.0	0	 Boralesgamuwa	  Colombo
327	House	55000000	4	11.0	4	3300.0	0	 Talawatugoda	  Colombo
328	House	42500000	3	11.0	4	3300.0	0	 Talawatugoda	  Colombo
329	House	26500000	2	9.5	4	2500.0	0	 Nugegoda	  Colombo
330	House	23000000	3	4.0	4	1750.0	0	 Mount Lavinia	  Colombo
331	House	29500000	3	20.0	4	2500.0	0	 Negombo	  Gampaha
332	House	39000000	5	13.67	5	4628.0	0	 Moratuwa	  Colombo
333	House	9900000	1	10.0	3	1350.0	0	 Negombo	  Gampaha
334	House	32500000	2	12.0	3	1950.0	0	 Negombo	  Gampaha
335	House	25500000	4	7.15	4	2611.0	0	 Piliyandala	  Colombo
336	House	17000000	2	11.0	3	1550.0	0	 Negombo	  Gampaha
337	House	15000000	1	10.5	2	1350.0	0	 Negombo	  Gampaha
338	House	17000000	2	9.0	3	1300.0	0	 Athurugiriya	  Colombo
339	House	19500000	3	15.0	3	2150.0	0	 Negombo	  Gampaha
340	House	18000000	3	11.0	3	1600.0	0	 Piliyandala	  Colombo
341	House	84500000	4	20.0	6	4500.0	0	 Dehiwala	  Colombo
342	House	38500000	4	6.5	6	2750.0	0	 Dehiwala	  Colombo
343	House	13500000	2	10.0	3	1500.0	0	 Negombo	  Gampaha
344	House	21500000	4	9.0	4	2700.0	0	 Piliyandala	  Colombo
